"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"DCBLD2",17167.2043837534,6.79079261467598,0.348749615514575,19.4718282474843,1.90354854171547e-84,2.28899246404833e-82
"PYGL",5720.46661320793,2.76067795566748,0.141862437918651,19.4602461100418,2.38636194669269e-84,2.85477773499196e-82
"OCIAD2",2534.32083705288,2.35269168100606,0.120914448717205,19.4574900350291,2.51819155191559e-84,2.99703536086446e-82
"TMEM173",1161.19845309676,5.56795514414219,0.286383173271151,19.4423264486645,3.38463788217302e-84,4.00768754946283e-82
"CREB3L4",1981.44219951916,-3.59533275749158,0.185100286063975,-19.423701788602,4.86532539702773e-84,5.73169907686394e-82
"LTBP2",6373.84228056833,6.64467577785141,0.342187161374541,19.4182497997886,5.41025268659561e-84,6.3414719368945e-82
"ATP6V0E2",3245.8031159287,-5.92730627733451,0.305942115543643,-19.3739468225942,1.28054752663384e-83,1.49341442201599e-81
"CDK6",3287.9516478845,4.28613213169743,0.22196906558565,19.309592173976,4.46080929837406e-83,5.17632310983326e-81
"HGD",915.652925667765,-8.49387692362949,0.439895266341958,-19.3088618440069,4.52433197490641e-83,5.22391524744418e-81
"SERPINH1",4023.758590398,6.39617248453981,0.331276544909597,19.3076527234528,4.63148817971252e-83,5.32116721162219e-81
"APOBEC3C",2518.65138736225,10.7725286171143,0.558267881078826,19.2963431754249,5.7647277775573e-83,6.59053213111083e-81
"STK10",1582.73681425183,2.40514894167629,0.124789087992768,19.2737119916742,8.92956979832417e-83,1.01586988176229e-80
"BCAR3",2620.59895998073,3.56669977579684,0.185125439634339,19.2663946286465,1.02856724590446e-82,1.16443847038784e-80
"XDH",1026.84080443709,7.25817437760163,0.378008578568907,19.2010837560358,3.62450102350006e-82,4.08336989094123e-80
"MT2A",36744.2427659617,4.98548523674749,0.259688448222548,19.1979476594778,3.85006731784963e-82,4.3165392421572e-80
"TRPM2",1045.641569855,-8.14872737975315,0.425266628390313,-19.1614550396233,7.76712937495777e-82,8.66632396798172e-80
